Intega Group Limited,ITG,22 October 2019,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=ITG
Damstra Holdings Limited,DTC,16 October 2019 12:00 PM ##,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=DTC
Tartana Resources Limited,TNA,TBA,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=TNA
Home Consortium,HMC,14 October 2019,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=HMC
Magellan High Conviction Trust,MHH,11 October 2019 11:00 AM ##,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=MHH
Nemex Resources Limited,NXR,30 September 2019#,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=NXR
Trigg Mining Ltd,TMG,27 September 2019#,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=TMG
Mader Group Limited ,MAD,01 October 2019 11:00 AM ##,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=MAD
Partners Group Global Income Fund,PGG,26 September 2019 11:00AM##,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=PGG
VGI Partners Asian Investments Limited,VG8,13 November 2019,https://www.asx.com.au/asx/research/upcomingFloatDetail.do?asxCode=VG8
